,Date,Month,Year,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,DiffLP,FTR(S),FTR,Bookie,Target
26,31/08/2002,August,2002,Man City,Everton,3,1,1.727,3.25,4.333,1.8,3.1,3.8,1.8,3.2,4,1.72,3.2,4.33,0,0,0,0,0,0,0,0,3,H,1,1,0
27,31/08/2002,August,2002,Sunderland,Man United,1,1,5,3.4,1.615,4.4,3.3,1.65,4.5,3.25,1.667,5.5,3.4,1.53,0,0,0,0,0,0,0,0,14,NH,0,0,0
28,31/08/2002,August,2002,Tottenham,Southampton,2,1,1.667,3.4,4.5,1.65,3.3,4.4,1.571,3.5,5,1.57,3.3,5.5,0,0,0,0,0,0,0,0,-2,H,1,1,0
29,31/08/2002,August,2002,West Brom,Fulham,1,0,2.625,3.2,2.375,2.7,3,2.3,2.75,3.2,2.25,2.87,3.1,2.2,0,0,0,0,0,0,0,0,5,H,1,0,1
30,31/08/2002,August,2002,West Ham,Charlton,0,2,1.727,3.5,4,1.7,3.2,4.2,1.667,3.4,4.333,1.72,3.2,4.33,0,0,0,0,0,0,0,0,-7,NH,0,1,1
31,01/09/2002,September,2002,Bolton,Aston Villa,1,0,2.5,3,2.625,2.4,3,2.6,2.6,3.2,2.375,2.5,3.1,2.5,0,0,0,0,0,0,0,0,8,H,1,1,0
32,01/09/2002,September,2002,Chelsea,Arsenal,1,1,3,3,2.25,2.7,3,2.3,2.75,3.2,2.25,2.87,3,2.25,0,0,0,0,0,0,0,0,5,NH,0,0,0
33,02/09/2002,September,2002,Liverpool,Newcastle,2,2,1.615,3.4,5,1.65,3.3,4.4,1.571,3.5,5,1.66,3.3,4.5,0,0,0,0,0,0,0,0,-2,NH,0,1,1
34,10/09/2002,September,2002,Arsenal,Man City,2,1,1.333,4.333,7.5,1.3,4.2,8,1.3,4.333,8,1.3,4.33,8,0,0,0,0,0,0,0,0,-17,H,1,1,0
35,11/09/2002,September,2002,Aston Villa,Charlton,2,0,1.8,3.25,4,1.9,3.1,3.5,1.909,3.2,3.5,1.8,3.25,3.8,0,0,0,0,0,0,0,0,-6,H,1,1,0
36,11/09/2002,September,2002,Blackburn,Chelsea,2,3,2.5,3.2,2.5,2.5,3,2.5,2.5,3.2,2.5,2.37,3.1,2.62,0,0,0,0,0,0,0,0,4,NH,0,0,0
37,11/09/2002,September,2002,Fulham,Tottenham,3,2,2.375,3.2,2.625,2.5,3,2.5,2.375,3.2,2.6,2.4,3.1,2.6,0,0,0,0,0,0,0,0,4,H,1,1,0
38,11/09/2002,September,2002,Liverpool,Birmingham,2,2,1.25,4.5,11,1.25,4.5,9,1.333,3.75,9,1.28,4.5,8,0,0,0,0,0,0,0,0,-16,NH,0,1,1
