,0,1,2,3,4,7,8,9,10,11
0,,,,,,,,1.0,0.35714285714285715,0.64
1,0.46153846153846156,0.3,0.2,1.0,0.5,0.7142857142857143,0.6428571428571429,0.47058823529411764,0.375,0.5
2,0.5714285714285714,0.5,0.4444444444444444,0.75,0.6666666666666666,0.2631578947368421,0.3333333333333333,0.5833333333333334,0.65,0.6521739130434783
3,0.36363636363636365,0.6428571428571429,0.25,0.5,,0.5,0.7142857142857143,0.5833333333333334,0.25,0.4375
4,0.5,0.3,0.14285714285714285,0.6666666666666666,1.0,0.375,0.5454545454545454,0.4,0.3333333333333333,0.4166666666666667
5,0.5,0.36363636363636365,0.5384615384615384,0.5909090909090909,0.625,,,,0.5555555555555556,0.5882352941176471
6,0.5,0.5,0.25,0.5,0.25,0.0,0.375,0.5454545454545454,0.7352941176470589,0.5142857142857142
7,0.26666666666666666,0.6,0.5454545454545454,0.2857142857142857,0.5714285714285714,0.5,0.5,0.5833333333333334,0.46153846153846156,0.3076923076923077
8,0.6666666666666666,0.5625,0.375,0.5833333333333334,0.3333333333333333,0.6,0.7777777777777778,0.4,0.42105263157894735,0.4
9,0.2,0.6363636363636364,0.42857142857142855,0.3333333333333333,0.4,0.6923076923076923,0.6666666666666666,0.631578947368421,0.36363636363636365,0.7368421052631579
10,0.5789473684210527,0.45454545454545453,0.47368421052631576,0.42857142857142855,0.6,0.25,0.4,0.8333333333333334,0.5185185185185185,0.4444444444444444
11,0.5625,0.3333333333333333,0.5,0.6,0.7333333333333333,0.5,0.6,0.5,0.3076923076923077,0.47619047619047616
12,0.29411764705882354,0.4444444444444444,0.3333333333333333,0.375,0.0,1.0,0.7777777777777778,0.125,0.5,0.0
13,0.6,0.6842105263157895,0.6153846153846154,0.5,0.4444444444444444,0.75,0.4117647058823529,0.5555555555555556,0.7,0.6153846153846154
14,0.4482758620689655,0.36,0.8181818181818182,0.42857142857142855,0.6666666666666666,0.7272727272727273,0.5384615384615384,0.6153846153846154,0.5,0.2631578947368421
15,0.8888888888888888,0.3333333333333333,0.2857142857142857,0.0,0.0,0.2,0.2857142857142857,0.45454545454545453,0.5,0.5
16,0.5555555555555556,0.47058823529411764,0.2,0.6842105263157895,0.5,0.42857142857142855,0.7777777777777778,0.6363636363636364,0.25,0.6
